 ,Area,Mean,Min,Max
1,146.528,608.734,144,2000
2,146.528,2283.895,594,4095
3,146.528,2954.735,547,4095
4,146.528,2400.730,271,4095
5,146.528,1135.953,81,4095
6,146.528,476.757,0,3183
7,146.528,209.120,0,1200
8,62.419,736.164,142,4095
9,62.419,2186.851,464,4095
10,62.419,2464.210,876,4095
11,62.419,1799.276,450,4095
12,62.419,662.674,106,2854
13,62.419,282.786,24,954
14,62.419,131.344,0,402
15,105.715,138.878,0,487
16,105.715,512.493,54,3268
17,105.715,1201.704,258,4095
18,105.715,2087.718,462,4095
19,105.715,1770.101,366,4095
20,105.715,749.921,183,2115
21,105.715,287.758,12,834
22,206.050,155.444,0,516
23,206.050,652.048,71,2680
24,206.050,1583.538,236,4095
25,206.050,2069.076,238,4095
26,206.050,1429.182,211,4095
27,206.050,693.960,33,4095
28,206.050,292.619,0,2706
29,50.333,167.285,0,427
30,50.333,500.049,68,1636
31,50.333,1543.607,359,4095
32,50.333,2838.880,989,4095
33,50.333,3023.641,1288,4095
34,50.333,2142.036,710,4095
35,50.333,862.436,179,4095
36,175.171,96.256,0,377
37,175.171,315.667,8,2454
38,175.171,953.847,194,4095
39,175.171,1719.391,330,4095
40,175.171,1258.636,295,3298
41,175.171,512.587,94,2067
42,175.171,207.498,0,723
43,29.802,173.806,3,417
44,29.802,548.019,155,1240
45,29.802,1734.444,560,4095
46,29.802,3031.614,1239,4095
47,29.802,3002.475,1163,4095
48,29.802,1779.078,421,4095
49,29.802,570.142,134,1435
