Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
63,30.915,40.355,218,12,0,1306,54.058
67,13.539,29.554,223,0,0,2198,90.980
69,5.914,16.787,167,0,0,1774,73.430
70,161.367,83.532,574,152,198,343,14.197
71,16.554,31.667,158,0,0,65,2.690
72,7.882,16.888,98,0,0,161,6.664
73,384.125,184.649,1427,359,248,506,20.944
74,451.512,180.935,1150,425,409,1407,58.239
75,107.698,411.504,4095,0,0,1339,55.424
76,4.251,14.464,126,0,0,1308,54.141
77,411.086,363.660,1996,405,0,1479,61.219
78,451.964,162.503,1162,428,380,982,40.647
79,68.556,143.236,813,0,0,1214,50.250
80,147.832,75.194,483,141,117,1923,79.597
81,64.352,66.055,372,49,0,2016,83.447
82,51.326,47.392,225,41,0,770,31.872
83,74.011,62.174,345,66,0,899,37.212
84,33.504,55.630,443,0,0,3975,164.534
85,12.824,23.204,131,0,0,204,8.444
86,36.758,30.379,163,31,0,1078,44.621
87,40.392,46.989,269,24,0,2649,109.648
88,14.747,26.304,165,0,0,1306,54.058
89,15.816,29.066,202,0,0,2335,96.651
90,28.579,33.290,145,15,0,190,7.865
91,14.691,26.882,188,0,0,181,7.492
92,30.884,38.084,211,16,0,1027,42.510
93,84.167,61.194,310,79,0,348,14.404
94,8.456,18.830,92,0,0,160,6.623
95,29.217,34.455,180,16,0,1528,63.247
96,6.248,16.630,148,0,0,3122,129.226
97,21.575,30.224,178,5,0,1876,77.652
98,2.906,12.030,136,0,0,913,37.791
99,0.629,4.871,74,0,0,765,31.665
100,5.593,15.417,126,0,0,2001,82.826
101,14.083,25.607,191,0,0,4311,178.441
102,52.834,49.134,305,43,0,5952,246.366
103,1.386,7.196,123,0,0,8037,332.668
104,10.658,22.600,161,0,0,1920,79.473
105,46.841,48.763,328,34,0,8908,368.721
106,4.679,13.455,97,0,0,532,22.021
107,82.896,71.072,381,70,0,626,25.911
